,username,tweet,date,name,creation,followers,following
32,PPH1899,@sftz_ En dépression frère jss IDS ( interdit de snap ),Mon Oct 20 17:38:14 +0000 2025,𝓟𝓮𝓻𝓢𝓲𝓮𝓶𝓹𝓻𝓮 🇫🇮💙🤍,Wed Oct 28 12:43:58 +0000 2015,106,155
33,imn922z,Jsui tellement en dépression ma mère me manque tellement vivement qu’elle rentre,Mon Oct 20 17:36:54 +0000 2025,IB ♛,Sat Sep 17 18:32:34 +0000 2022,592,96
34,cevapx,La dépression c vrmt un truc de gwer,Mon Oct 20 17:36:50 +0000 2025,maf,Wed Feb 21 07:27:19 +0000 2024,29,14
35,mugiwachat,"@zeppelistars Ça ma beaucoup aidé quand j’étais en dépression perso, j’y croyais pas du tout, j’ai fondu en larmes comme une merde je pouvais pas arrêter j’avais une lampe chaude sur le ventre en plus ect",Mon Oct 20 17:36:26 +0000 2025,coco 🇵🇸,Sat Apr 01 09:59:16 +0000 2017,1117,658
36,linealtransfer,"vous avez vu comme on vole haut ? il fait des blagues sur mon cancer et ma dépression, sa maman peut être fière de lui 🥰 https://t.co/WBoDkeAZhy",Mon Oct 20 17:32:53 +0000 2025,Addy,Mon Jan 20 11:05:54 +0000 2025,92,246
37,Yarasu__,@leoreogaga @Julessbulle Je suis en dépression aussi alors https://t.co/25yx1OkDkw,Mon Oct 20 17:22:11 +0000 2025,Sithis,Sat Dec 24 23:58:56 +0000 2022,21,134
38,xKreusnik,@IIvagabond @noobpvpgagaV2 Ouais mais Geto cest l’essence meme de la dépression de anxiété et du malaitre humain. Après ouais il est partie dans l.extreme,Mon Oct 20 17:20:57 +0000 2025,xKreusnik,Tue Feb 28 15:00:44 +0000 2017,521,354
39,raphamulani,Cette université m’a tellement mis en dépression. Je les déteste,Mon Oct 20 17:19:48 +0000 2025,🐢,Sun Sep 13 14:29:08 +0000 2015,180,100
40,LenouduF,"@Baby_Princess_L @kindormad Je pense que si. Vivre aux côtés de gens dépressifs qui expriment en permanence des pensées négatives, se sentir impuissant et inutile, ça peut carrément conduire à la dépression.",Mon Oct 20 17:17:40 +0000 2025,Len' 🇫🇷,Wed Oct 01 22:35:21 +0000 2014,200,570
41,leoreogaga,@Julessbulle vous vous moquez donc ouvertement d’un signe fort de dépression au cas où vous n’auriez pas fait gaffe 💀💀,Mon Oct 20 17:14:05 +0000 2025,I 🤎 PARIS AND BIAGINI,Wed Aug 07 21:23:31 +0000 2024,51,55
42,elia2403,Faut pas prendre l’anxiété et la dépression à la légère,Mon Oct 20 17:14:00 +0000 2025,BIG’S 🩵,Thu May 03 10:30:00 +0000 2018,226,373
43,LastKuruta,Ptdrrr la cote de Fugu a explosé x5 depuis l’affaire vous allez voir dans qlq temps si il fait pas une dépression il sera déjà en couple et y’aura encore + de like sur ses postes,Mon Oct 20 17:13:50 +0000 2025,ᴷᵘʳᵃᵖⁱᵏᵃ,Sat Jan 25 07:58:07 +0000 2014,2111,457
44,Mytruth_Untold,"@ScottyReddy Bien sûr que si qu'il faut être former pour pouvoir aider. Tu n'auras pas forcément les bons mots, les bonnes questions ou silences quand il faut surtout s'il y a une pathologie (ex: dépression). Tu peux être un pansement, mais tu ne seras jamais un vaccin.",Mon Oct 20 17:13:29 +0000 2025,Weneebebe Universe,Tue Jun 02 18:23:48 +0000 2020,47,98
45,amin_7771,@BoKnariye @lnstantFoot Toi tu veux mettre en dépression les rageuses de l est 😂😂😂,Mon Oct 20 17:06:52 +0000 2025,Rocma212,Mon Jun 12 02:10:56 +0000 2023,7,42
46,MubaraqThe,@Pguy112 lol person fit enter depression 😂,Mon Oct 20 17:06:08 +0000 2025,Mubaraq🪔,Sun Oct 18 12:11:11 +0000 2020,263,262
47,bidule_01,@olisab1949115 @NPolony Tous ces gens vont entrer en grave dépression quand Macron ne sera plus au pouvoir. Quelle va être leur vie après ça ?,Mon Oct 20 17:04:31 +0000 2025,BiduleMachinTruc 01 #Laïcité 🇫🇷 🇪🇺 🇺🇦,Fri Mar 02 08:27:04 +0000 2012,1840,3043
48,BolbBilal,"Samuel Paty (p.2), la lacheté des Nations Unies, la dépression en islam https://t.co/WaZUtzmW4u",Mon Oct 20 17:01:28 +0000 2025,Ali Babal,Sat Oct 10 00:30:52 +0000 2020,9680,1166
49,Mamadoo_Niang,@Sir_Amares @soxnajaara_m Bon je remets absolument pas en cause la dépression ça existe et amine qu’Allah nous en épargnes 🙌🏿,Mon Oct 20 16:59:14 +0000 2025,BOUBA,Wed Dec 10 20:31:41 +0000 2014,58,140
50,MaxBedw1,"@NonnyAnimaliste En fait je pense que les personnes apportent différents besoins

Certains peuvent avoir la disponibilité et l’intelligence émotionnelle et être « productif » pour aider les autres dans la dépression

Certains ont juste l’intelligence mais pas la disponibilité et ça va les tirer",Mon Oct 20 16:58:41 +0000 2025,Max,Thu Oct 31 15:55:15 +0000 2013,131,224
51,taphiscOo_,"@Mamadoo_Niang Yeaah je vois.
Y’a toute une histoire de trahison, de calomnies et de divorce derrière.
Le truc du rôle était plus pour expliquer son divorce.
Cependant il n’existe pas de petite ou de grande cause lorsqu’il s’agit de dépression.",Mon Oct 20 16:58:31 +0000 2025,Reddington 🇸🇳⭐️🩺,Tue Jan 28 15:15:22 +0000 2014,1725,1500
52,mae_cta,@ssama_io @NaliBeats C'est un coup à faire une dépression ouais 😂 On est bien dans notre sud,Mon Oct 20 16:55:56 +0000 2025,Sbfv,Sun Jul 30 22:00:31 +0000 2023,124,112
53,Sir_Amares,@Mamadoo_Niang @soxnajaara_m Mdrr ok bro pass une bonne journée et qu’Allah te préserve de la dépression ou de n’importe quel autres problème mental,Mon Oct 20 16:55:54 +0000 2025,tonton Sir 🇸🇳🏳️,Fri Sep 16 12:24:29 +0000 2022,3951,3523
54,OwenFTBE,@akrapolak Ce connard était à 2 doigts de tomber en dépression c'est du jms vu,Mon Oct 20 16:54:16 +0000 2025,Owen,Wed Feb 06 16:50:20 +0000 2019,877,641
55,Dachart_,"@AkokoAmedon Bonjour Wétri, Ton tweet m'a bcp touché. La dépression, c'est un combat, je salue ton courage d'en parler. Ne sois pas seule dans cette phase de ta vie. J'ai eu la chance d'avoir à mes cotés une communauté d'amis, d'artist comme toi bienveillants. De tout cœur avec toi.",Mon Oct 20 16:53:53 +0000 2025,dachar djanta,Wed Aug 24 17:19:38 +0000 2022,8,211
56,van_bergh64444,Ma dépression va arrivé https://t.co/diQqSn0QmD,Mon Oct 20 16:52:00 +0000 2025,monkay.d.math,Fri May 02 07:30:56 +0000 2025,5,35
57,van_bergh64444,@OPspoiler_ Si il/elle fait ça je serai traumatisé et en dépression https://t.co/jjpEYsaQMO,Mon Oct 20 16:51:00 +0000 2025,monkay.d.math,Fri May 02 07:30:56 +0000 2025,5,35
58,belleparfaite,"1- MON BB MA PREF SERVICE 5⭐️💋
2- en vrai cv si tu la prends pour qq stations 
5- pk faire ?!?
7- chaque station rallonge ma dépression 
8- GIRL HELP JETFOUFFE DEDANS je signe mon arrêt de mort à république C UN TRAUMA COLLECTIF
9- pas mal stv arriver en retard",Mon Oct 20 16:49:28 +0000 2025,Victoria,Fri Jul 15 20:05:03 +0000 2022,3091,820
59,aucuneliaison,Je suis en dépression https://t.co/JsUdJumtU1,Mon Oct 20 16:47:09 +0000 2025,Oum’s,Fri Mar 12 21:34:56 +0000 2021,117,21
60,snaketropi,@iris_riris_ @krxvne99 @nahykow les gens se suicident a cause de la depression au cas où jpense que c assez pour résumer,Mon Oct 20 16:46:40 +0000 2025,Lysandre 🎐,Mon Mar 17 19:30:16 +0000 2025,98,133
61,greg_bert01,"@GJauseau Pourquoi la dépression passe plus au sud ?
Tempête ?",Mon Oct 20 16:46:35 +0000 2025,Bertrand Grégory,Tue Apr 26 11:35:24 +0000 2022,17,352
62,moonsspirit_,(Vous avez jms vécu de dépression),Mon Oct 20 16:45:32 +0000 2025,✩₊˚.⋆ 𝖻𝗅𝖺𝖼𝗄 𝗄𝗂𝗍𝗍𝗒 ⋆⁺₊✧,Mon Jun 14 09:43:18 +0000 2021,259,72
63,StaracNews25,@KushyKumari Elle est heureuse quoi normal c'est mieux que de voir des candidats en dépression,Mon Oct 20 16:43:59 +0000 2025,StaracNews25_,Thu Jun 21 18:13:42 +0000 2018,659,2212
64,JAPANESERELICS,quel malédiction d’avoir une famille noire tu leur parle de depression il te conseillent des jus pour prendre des vitamines,Mon Oct 20 16:43:29 +0000 2025,JAPANESE ARTEFACTS,Wed Jul 24 10:53:03 +0000 2024,81,52
65,SanteMentale,France  3 Paris Île-de-France consacre une série de 4 épisodes pour faire découvrir les nouvelles approches de soins en #SanteMentale .https://t.co/wfUvip76y3,Mon Oct 20 16:40:55 +0000 2025,Santé Mentale,Mon Jul 11 10:35:53 +0000 2011,10173,1079
66,aurevoirlenine,quand la dépression ne consiste pas à juste écouter des musiques tristes https://t.co/P2lrQ69uH5,Mon Oct 20 16:38:36 +0000 2025,poissons bizarres,Sun Jul 14 07:41:46 +0000 2024,132,141
67,GJauseau,"Un creusement explosif demande que plusieurs éléments soient réunis en même temps. Tout dépendra du phasage au moment T, un léger décalage entre l’anomalie d’altitude, la dépression de surface ou le jet peut limiter ou, au contraire, renforcer la tempête. 5/5 https://t.co/pZ9Fgai5AU",Mon Oct 20 16:35:49 +0000 2025,Guillaume Jauseau,Tue Feb 16 14:01:11 +0000 2021,9068,147
68,GJauseau,"L’atmosphère étant chaotique, la position exacte de la dépression reste difficile à fixer. Elle diffère selon les modèles et peut encore glisser un peu plus au nord ou au sud. L’intensité du système reste à préciser, et donc le niveau des vents aussi... 4/5 https://t.co/zkcPN6mSDf",Mon Oct 20 16:35:48 +0000 2025,Guillaume Jauseau,Tue Feb 16 14:01:11 +0000 2021,9068,147
69,GJauseau,"Ce qui rend la situation encore plus intéressante ici, c’est le potentiel explosif. Les modèles montrent ici une anomalie froide d’altitude exceptionnelle pour la période, un carburant idéal pour le creusement d'une dépression. 3/5 https://t.co/V5d6dtuTo7",Mon Oct 20 16:35:47 +0000 2025,Guillaume Jauseau,Tue Feb 16 14:01:11 +0000 2021,9068,147
70,GJauseau,"La vaste zone bleue est typique d'une dépression “mère” qui va commencer à se bloquer sur🇬🇧. Sur son flanc sud-ouest, une dépression secondaire va se former puis se décrocher, avant de glisser vers nous sous l’impulsion d’un puissant jet stream. 2/5 https://t.co/WVCjnEdIVe",Mon Oct 20 16:35:46 +0000 2025,Guillaume Jauseau,Tue Feb 16 14:01:11 +0000 2021,9068,147
71,the_juka_,"@SaintsFrance Salut l'équipe ! Je me suis endormi pendant le match,une première. N'est ce pas les premiers signes de la dépression ? Plus sérieusement quel est le plafond de Pete Werner ? Merci pour les barres de rire chaque semaine !",Mon Oct 20 16:33:20 +0000 2025,🇧🇷 Jüka 🐻⚜️,Mon Jul 08 11:47:09 +0000 2019,91,477
72,fra37247,"@Bob_Bourgi Bonjour monsieur je suis en train de regarder H5 Motivation. j'ai visité votre pays en 2008 avec mon fils Adams M'BACKE. 
Vous et moi étions en dépression(sévère pour moi)à la même époque 😅
je vis en Guyane française et je continue à enseigner la danse à 71 ans.",Mon Oct 20 16:31:56 +0000 2025,Francine CASALS,Fri Nov 03 12:40:16 +0000 2023,2,11
73,Ovanmeg20108,@oliviagregoire 🤣🤣🤣 vous feriez quoi sans le RN ? De la dépression 🤣,Mon Oct 20 16:30:37 +0000 2025,master,Wed Jan 29 04:44:16 +0000 2025,26,10
74,iamlxu,vous savez pas c’est quoi une dépression mdr,Mon Oct 20 16:28:02 +0000 2025,gamberge🇵🇸,Sun May 26 15:33:21 +0000 2013,750,528
75,GoldyyR,@Baby_Princess_L @kindormad Des études tendent à montrer que la dépression est contagieuse voir héréditaire. C’est une maladie qu’on ne comprend pas encore pleinement et qui a toujours du mystère pour les psychologues/chiatres,Mon Oct 20 16:23:41 +0000 2025,Goldy ✨,Mon Sep 10 12:06:20 +0000 2012,66,70
76,queens93645,Certains personnes sont en dépression juste parce que snapchat a eu un putain de soucis technique chaque jour de nouvelle connories.,Mon Oct 20 16:22:55 +0000 2025,Dia Baby 🌸,Fri Dec 08 04:05:20 +0000 2023,1556,632
77,Julien_bns,@JSOfficialHater Bientôt la dépression pour toi,Mon Oct 20 16:22:30 +0000 2025,Julien 🫧 ♐︎,Fri Jan 10 21:16:22 +0000 2020,1042,420
78,vanda2412,@joannamoncrieff @betswrites I saw it soon.....insta algo is made to promote dépréssion,Mon Oct 20 16:22:18 +0000 2025,HAK23,Sun Feb 13 12:28:04 +0000 2011,19,88
79,DessinCompagnie,C'est possible de faire une dépression à cause de son c...l ?,Mon Oct 20 16:21:39 +0000 2025,Dessin & Compagnie,Thu Dec 09 14:03:13 +0000 2021,32,35
80,fct_fatima,@_dnss0_ MDRRRRRRRRR EH ON MA DÉCONNECTÉ SANS MON CONSENTEMENT JE SUIS EN DEPRESSION,Mon Oct 20 16:19:06 +0000 2025,Fatii 🤍,Sun Aug 04 17:30:46 +0000 2019,58,55
81,Mestralmia93,"Vous êtes au courant qu’il y a des psychologues et psychiatres musulmans? Si vous avez besoin aller consulter un professionnel de santé, la prière et le coran ne suffisent pas à guérir les maladies mentales, la dépression, la schizophrénie, la bipolarité etc",Mon Oct 20 16:16:51 +0000 2025,PRINCESA,Sun Nov 16 04:51:53 +0000 2014,512,467
82,JxstLaur1,"@kindormad pour eux que pour moi. Aujourd'hui ça va beaucoup mieux, j'apprends à vivre pour moi, je guéris doucement de mes traumatismes. Je ne suis sorti·e de ma dépression infantile depuis plus d'1 an. Je réalise de plus en plus que ces personnes ne souhaitaient pas s'en sortir, que peu",Mon Oct 20 16:15:26 +0000 2025,Laur1 シ,Wed Aug 21 13:55:45 +0000 2019,23,76
83,LazareRed,"@jessimdev Y'a des mecs ils montent des comptes chall comme ils mettent des chaussettes mais j'ai jamais vu un chirurgien neurologue se refaire un rush étude de +15ans. Y'a un monde de difficulté entre les deux, la plupart des étudiants en médecine finissent en depression, bref respecte pls",Mon Oct 20 16:15:04 +0000 2025,"3,141 592 653",Wed Jun 19 23:54:06 +0000 2013,270,523
84,wshkalinta,j’crois que vous savez réellement pas ce que c’est d’être en dépression,Mon Oct 20 16:11:32 +0000 2025,kalinta,Sun Jan 06 16:24:53 +0000 2019,1331,106
85,morrocos93,La dépression post lycée c’est du réel enfaite,Mon Oct 20 16:08:42 +0000 2025,ali_k🇵🇸🇲🇦,Sun Apr 17 12:04:47 +0000 2022,30,52
86,SuperKaka001,@instablog9ja Post partum depression,Mon Oct 20 16:04:34 +0000 2025,Cynthia,Thu Apr 27 12:21:08 +0000 2023,60,415
87,theo68835801,"@Low3nG @Nixamere192573l Et tu bandes sur des personnages d’animé, la dépression au quartier.",Mon Oct 20 16:03:23 +0000 2025,444Theo,Sat Sep 05 16:43:33 +0000 2020,26,30
88,Tainabee,"Je me considère sorti de le depression, et c'est pas les psy qui m'y on aidé,  MAIS au grd jamais une amitié peux te sortir d'une dépression... prendre un chemin peut-être, réalisée certaine choses peut-être, mais en sortir ça demande une introspection et une resilience enorme",Mon Oct 20 16:01:28 +0000 2025,l'amour fait grossir (57k),Mon Oct 12 15:54:06 +0000 2009,327,255
89,JF_Sebastien,"@kindormad La dépression c'est comme un trou noir. Le dépressif et les pers qui l'entourent y sont aspirés au point que ça devient dangereux pour tout le monde. Je ne dis pas qu'il faut laisser tomber les dépressifs, mais la meilleure manière de les aider est de leur conseiller un bon psy.",Mon Oct 20 16:00:18 +0000 2025,JF Sebastien,Tue Jul 07 09:38:17 +0000 2015,452,139
90,FedeDiabete,"#JournéeMondialeDuDiabète
Cette année, la @FedeDiabete met en lumière un enjeu essentiel : la santé mentale.
💬 77 % des personnes diabétiques ont déjà souffert d’anxiété ou de dépression.
📅 Rendez-vous le 13 nov. à 18h30 pour en parler en direct ! 🔗https://t.co/Yg6vVeLj5K https://t.co/NilbtAsLnA",Mon Oct 20 16:00:01 +0000 2025,Fédération Française des Diabétiques,Wed May 23 14:22:54 +0000 2012,5200,1277
91,Wanman_7,"@GLBouchez "" ..Le communautarisme de la gauche à Bruxelles..""
🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️

Le mec est convaincu que le communautarisme est un choix.
Comme la pauvreté, la dépression et la maladie.

Il est persuadé que des gens choisissent de vivre en surpopulation, discrimination, chômage, criminalité...",Mon Oct 20 15:59:14 +0000 2025,Wanman7,Wed Feb 16 11:26:16 +0000 2022,53,67
92,knightdaddd,"La prière est une obligation religieuse, allah guéri à travers les traitements qui sont la cause pour combattre une maladie, la dépression en est une, tout autant qu'une grippe ou un cancer, y en a qui se suicide malgré la prière car leur dépression est profonde",Mon Oct 20 15:56:18 +0000 2025,👑,Wed May 12 12:55:23 +0000 2021,43,92
93,legacyofkain_,@BIKINIBOTTOM94 D’après lui je suis à ma 67eme dépression respiratoire,Mon Oct 20 15:55:34 +0000 2025,cujo,Tue May 07 09:11:53 +0000 2019,26,39
94,SaadHdl,"À côté de ça, t’as un taux de dépression, tristesse énorme, des attentes sur toi élevées mais pas justifiées. Bref c une période où la plupart des humains se cherchent et apprennent à se construire.",Mon Oct 20 15:51:39 +0000 2025,Huey,Fri Oct 26 21:15:17 +0000 2012,208,190
95,iris_riris_,@krxvne99 @nahykow Et c'est sûrement pas le seul cas où malgres la dépression une douche ça te tue pas,Mon Oct 20 15:49:54 +0000 2025,Raphiki🇲🇦Spam,Wed Dec 11 17:06:57 +0000 2024,42,57
96,iris_riris_,@krxvne99 @nahykow Alors hum oui dcp parce que mm si j'suis en dépression et que c'est épuisant j'suis genre toujours ultra sociable a la limite du maladif parce que moi et sûrement bcp d'autres ont des ptsd qui font que c'est + douloureux d'avoir des mauvais rapport social que de se laver,Mon Oct 20 15:49:31 +0000 2025,Raphiki🇲🇦Spam,Wed Dec 11 17:06:57 +0000 2024,42,57
97,MatinoLeMeteo,"Une zone d’averses et d’orages liée à la 34e onde tropicale de la saison progresse dans la mer des Caraïbes. Indépendamment de son évolution en dépression/tempête, elle pourrait impacter le temps en Haïti vers le milieu/fin de cette semaine, avec des pluies &amp; vents en rafale. MT https://t.co/mjxjPOPBig",Mon Oct 20 15:49:09 +0000 2025,Matino Le Météo(Météorologue OFNAC),Wed May 15 13:47:50 +0000 2024,42,63
98,yonatsunoo,@bojackfeminin jv embrace la novembre dépression en l’honneur de tous ces cadeaux au nom https://t.co/Dcjl0GFS0F,Mon Oct 20 15:44:29 +0000 2025,Jiang,Sat Oct 17 16:50:33 +0000 2020,2780,680
99,marshazak5,La depression… quoi de plus naturel pour un ashkénaze en fin de compte ? https://t.co/3Dq1EFB6iE,Mon Oct 20 15:42:40 +0000 2025,☭ יעקב,Mon Apr 15 06:44:25 +0000 2024,156,155
